code,profile_spec_name,education_form,price
01.03.02,Прикладная математика и информатика,очная,156000
07.03.01,Архитектура,очная,179000
07.03.03,Дизайн архитектурной среды,очная,179000
08.03.01,Строительство,очная,179000
09.03.01,Информатика и вычислительная техника,очная,179000
09.03.03,Прикладная информатика,очная,179000
11.03.04,Электроника и наноэлектроника,очная,179000
13.03.01,Теплоэнергетика и теплотехника,очная,179000
13.03.02,Электроэнергетика и электротехника,очная,179000
15.03.01,Машиностроение,очная,179000
15.03.02,Технологические машины и оборудование,очная,179000
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,очная,179000
15.03.06,Мехатроника и робототехника,очная,179000
18.03.01,Химическая технология,очная,179000
20.03.01,Техносферная безопасность,очная,179000
22.03.01,Материаловедение и технологии материалов,очная,179000
22.03.02,Металлургия,очная,179000
27.03.01,Стандартизация и метрология,очная,179000
27.03.04,Управление в технических системах,очная,179000
29.03.03,Технология полиграфического и упаковочного производства,очная,179000
29.03.04,Технология художественной обработки материалов,очная,179000
38.03.01,Экономика,очная,156000
38.03.02,Менеджмент,очная,156000
38.03.04,Государственное и муниципальное управление,очная,156000
39.03.02,Социальная работа,очная,156000
40.03.01,Юриспруденция,очная,156000
42.03.02,Журналистика,очная,156000
44.03.01,Педагогическое образование,очная,156000
44.03.02,Психолого-педагогическое образование,очная,156000
44.03.03,Специальное (дефектологическое) образование,очная,156000
44.03.05,Педагогическое образование (с двумя профилями подготовки),очная,156000
45.03.01,Филология,очная,150000
46.03.02,Документоведение и архивоведение,очная,156000
49.03.01,Физическая культура,очная,209500
54.03.01,Дизайн,очная,299000
08.03.01,Строительство,очно-заочная,85000
29.03.05,Конструирование изделий легкой промышленности,очно-заочная,85000
37.03.01,Психология,очно-заочная,77000
38.03.01,Экономика,очно-заочная,77000
38.03.02,Менеджмент,очно-заочная,77000
38.03.03,Управление персоналом,очно-заочная,77000
38.03.04,Государственное и муниципальное управление,очно-заочная,77000
40.03.01,Юриспруденция,очно-заочная,77000
54.03.01,Дизайн,очно-заочная,77000
09.03.01,Информатика и вычислительная техника,заочная,77000
11.03.04,Электроника и наноэлектроника,заочная,77000
12.03.01,Приборостроение,заочная,77000
13.03.01,Теплоэнергетика и теплотехника,заочная,77000
13.03.02,Электроэнергетика и электротехника,заочная,77000
15.03.01,Машиностроение,заочная,77000
15.03.02,Технологические машины и оборудование,заочная,77000
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,заочная,77000
15.03.06,Мехатроника и робототехника,заочная,77000
18.03.01,Химическая технология,заочная,77000
19.03.02,Продукты питания из растительного сырья,заочная,77000
20.03.01,Техносферная безопасность,заочная,77000
22.03.02,Металлургия,заочная,77000
23.03.02,Наземные транспортно-технологические комплексы,заочная,77000
23.03.03,Эксплуатация транспортно-технологических машин и комплексов,заочная,77000
27.03.01,Стандартизация и метрология,заочная,77000
27.03.04,Управление в технических системах,заочная,77000
39.03.01,Социология (ДОТ),заочная,45000
42.03.01,Реклама и связи с общественностью (ДОТ),заочная,45000
43.03.02,Туризм,заочная,67000
44.03.01,Педагогическое образование,заочная,67000
44.03.01,Педагогическое образование (ДОТ),заочная,45000
44.03.02,Психолого-педагогическое образование (ДОТ),заочная,45000
44.03.03,Специальное (дефектологическое) образование (ДОТ),заочная,45000
44.03.05,Педагогическое образование (с двумя профилями подготовки) (ДОТ),заочная,45000
45.03.01,Филология (ДОТ),заочная,45000
46.03.02,Документоведение и архивоведение (ДОТ),заочная,45000
49.03.01,Физическая культура,заочная,77000
10.05.03,Информационная безопасность автоматизированных систем,очная,170000
21.05.04,Горное дело,очная,201500
23.05.04,Эксплуатация железных дорог,очная,170000
37.05.02,Психология служебной деятельности,очная,150000
45.05.01,Перевод и переводоведение,очная,150000
21.05.04,Горное дело,заочная,77000
23.05.04,Эксплуатация железных дорог,заочная,77000
